timestamp,USDT_ARS_Parallel_sell_price,USDT_ARS_TradingView_open,USDT_ARS_TradingView_close,USDT_ARS_TradingView_high,USDT_ARS_TradingView_low,USDT_ARS_TradingView_volume,USD_ARS_Official_open,USD_ARS_Official_close,USD_ARS_Official_high,USD_ARS_Official_low
2022-03-26,,,,,,,,,,
2022-03-27,,,,,,,,,,
2022-03-28,200.0,,,,,,110.38,110.68,110.7,110.06
2022-03-29,200.0,,,,,,110.68,110.8,110.82,110.68
2022-03-30,201.0,,,,,,110.8,110.88,110.93,110.8
2022-03-31,200.0,,,,,,110.88,111.0,111.0,110.88
2022-04-01,199.0,,,,,,111.0,111.12,111.12,110.89
2022-04-02,,,,,,,,,,
2022-04-03,,,,,,,,,,
2022-04-04,199.0,,,,,,111.12,111.57,111.57,111.02
2022-04-05,196.0,,,,,,111.57,111.69,111.72,111.44
2022-04-06,196.0,,,,,,111.69,111.83,111.84,111.59
2022-04-07,196.0,,,,,,111.83,111.97,111.98,111.59
2022-04-08,196.0,,,,,,111.97,112.15,112.16,111.86
2022-04-09,,,,,,,,,,
2022-04-10,,,,,,,,,,
2022-04-11,195.0,,,,,,112.15,112.47,112.6,112.15
2022-04-12,195.0,,,,,,112.47,112.65,112.76,112.47
2022-04-13,195.0,,,,,,112.65,112.95,112.95,112.65
2022-04-14,,,,,,,112.95,112.81,112.95,112.81
2022-04-15,,,,,,,112.81,112.89,112.9,112.81
2022-04-16,,,,,,,,,,
2022-04-17,,,,,,,,,,
2022-04-18,195.0,,,,,,112.89,113.61,113.68,112.89
2022-04-19,197.0,,,,,,113.61,113.78,113.79,113.61
2022-04-20,199.5,,,,,,113.78,113.96,113.97,113.67
2022-04-21,201.0,,,,,,113.96,114.08,114.11,113.86
2022-04-22,202.5,,,,,,114.08,114.12,114.24,113.97
2022-04-23,,,,,,,,,,
2022-04-24,,,,,,,,,,
2022-04-25,205.0,,,,,,114.12,114.68,114.71,114.12
2022-04-26,210.0,,,,,,114.68,114.84,114.84,114.58
2022-04-27,209.0,,,,,,114.84,115.03,115.04,114.58
2022-04-28,205.0,,,,,,115.03,115.18,115.18,114.92
2022-04-29,199.0,,,,,,115.18,115.31,115.32,115.06
2022-04-30,,,,,,,,,,
2022-05-01,,,,,,,,,,
2022-05-02,201.0,,,,,,115.31,115.73,115.8,115.19
2022-05-03,203.5,,,,,,115.73,115.87,115.88,115.61
2022-05-04,202.0,,,,,,115.87,116.01,116.02,115.75
2022-05-05,201.5,,,,,,116.01,116.15,116.16,115.89
2022-05-06,201.0,,,,,,116.15,116.18,116.3,115.89
2022-05-07,,,,,,,,,,
2022-05-08,,,,,,,,,,
2022-05-09,200.5,,,,,,116.18,116.75,116.75,116.18
2022-05-10,202.0,,,,,,116.75,116.93,116.93,116.75
2022-05-11,205.0,,,,,,116.93,117.08,117.08,116.93
2022-05-12,204.5,,,,,,117.08,117.24,117.26,116.95
2022-05-13,203.0,,,,,,117.25,117.42,117.42,117.14
2022-05-14,,,,,,,,,,
2022-05-15,,,,,,,,,,
2022-05-16,205.0,,,,,,117.42,117.76,117.91,117.31
2022-05-17,207.0,,,,,,117.76,118.07,118.07,117.75
2022-05-18,,,,,,,118.07,118.0,118.07,117.94
2022-05-19,206.0,,,,,,118.0,118.34,118.36,118.0
2022-05-20,204.5,,,,,,118.34,118.48,118.49,118.22
2022-05-21,,,,,,,,,,
2022-05-22,,,,,,,,,,
2022-05-23,206.0,,,,,,118.48,118.82,118.95,118.22
2022-05-24,208.0,,,,,,118.82,118.98,119.1,118.82
2022-05-25,,,,,,,118.98,119.05,119.05,118.98
2022-05-26,207.0,,,,,,119.05,119.4,119.42,118.98
2022-05-27,206.0,,,,,,119.4,119.55,119.56,119.3
2022-05-28,,,,,,,,,,
2022-05-29,,,,,,,,,,
2022-05-30,206.5,,,,,,119.55,120.0,120.0,119.55
2022-05-31,206.0,,,,,,120.0,120.19,120.19,119.89
2022-06-01,206.0,,,,,,120.19,120.32,120.33,120.08
2022-06-02,205.0,,,,,,120.31,120.46,120.48,120.08
2022-06-03,205.0,,,,,,120.46,120.66,120.67,120.34
2022-06-04,,,,,,,,,,
2022-06-05,,,,,,,,,,
2022-06-06,205.5,,,,,,120.66,120.98,121.13,120.56
2022-06-07,206.0,,,,,,120.98,121.27,121.28,120.98
2022-06-08,208.0,,,,,,121.27,121.45,121.45,121.27
2022-06-09,207.0,,,,,,121.45,121.5,121.63,121.45
2022-06-10,209.0,,,,,,121.5,121.79,121.79,121.5
2022-06-11,,,,,,,,,,
2022-06-12,,,,,,,,,,
2022-06-13,215.0,,,,,,121.79,122.29,122.3,121.5
2022-06-14,221.0,,,,,,122.29,122.5,122.51,122.17
2022-06-15,221.0,,,,,,122.5,122.69,122.73,122.39
2022-06-16,216.0,,,,,,122.69,122.91,122.91,122.69
