1980	-0.2
1981	-8.1
1982	-3.4
1983	-2.8
1984	-2
1985	-7.3
1986	-7.6
1987	-9.3
1988	-2.9
1989	0.7
1990	-4
1991	-4.8
1992	-7.2
1993	-7.3
1994	-4
1995	-5
1996	-4.5
1997	-7
1998	-7.9
1999	-5.9
2000	-5.3
2001	-3.4
2002	-4.4
2003	1
2004	3.7
2005	6.5
2006	11.4
2007	12
2008	11.9
2009	4.7
2010	4.4
2011	2.2
2012	7.2
2013	3.4
2014	1.7
2015	-5.8
2016	-5.6
2017	-5
2018	-4.3
2019	-3.3
2020	0
2021	3.9
2022	2.1
2023	-2.5
2024	-4.3
2025	-2.5
